Post Code,"District/ตำบล,แขวง","City/อำเภอ,เขต",County/จังหวัด,Country/Region Code
10280,ตำบลบางปูใหม่,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10280,ตำบลแพรกษา,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10280,ตำบลแพรกษาใหม่ ,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10290,ตำบลนาเกลือ,อำเภอพระสมุทรเจดีย์,จังหวัดสมุทรปราการ,TH
10290,ตำบลในคลองบางปลากด,อำเภอพระสมุทรเจดีย์,จังหวัดสมุทรปราการ,TH
10290,ตำบลบ้านคลองสวน,อำเภอพระสมุทรเจดีย์,จังหวัดสมุทรปราการ,TH
10290,ตำบลปากคลองบางปลากด,อำเภอพระสมุทรเจดีย์,จังหวัดสมุทรปราการ,TH
10290,ตำบลแหลมฟ้าผ่า,อำเภอพระสมุทรเจดีย์,จังหวัดสมุทรปราการ,TH
10300,แขวงดุสิต,เขตดุสิต,กรุงเทพมหานคร,TH
10300,แขวงถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,TH
10300,แขวงวชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,TH
10300,แขวงสวนจิตรลดา,เขตดุสิต,กรุงเทพมหานคร,TH
10300,แขวงสี่แยกมหานาค,เขตดุสิต,กรุงเทพมหานคร,TH
10310,แขวงคลองเจ้าคุณสิงห์,เขตวังทองหลาง,กรุงเทพมหานคร,TH
10310,แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,TH
10310,แขวงวังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,TH
10310,แขวงสะพานสอง,เขตวังทองหลาง,กรุงเทพมหานคร,TH
10310,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,TH
10310,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,TH
10310,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,TH
10320,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,TH
10330,แขวงปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,TH
10330,แขวงรองเมือง,เขตปทุมวัน,กรุงเทพมหานคร,TH
10330,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,TH
10330,แขวงวังใหม่,เขตปทุมวัน,กรุงเทพมหานคร,TH
10400,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,TH
10400,แขวงรัชดาภิเษก,เขตดินแดง,กรุงเทพมหานคร,TH
10400,แขวงพญาไท,เขตพญาไท,กรุงเทพมหานคร,TH
10400,แขวงสามเสนใน,เขตพญาไท,กรุงเทพมหานคร,TH
10400,แขวงถนนพญาไท,เขตราชเทวี,กรุงเทพมหานคร,TH
10400,แขวงถนนเพชรบุรี,เขตราชเทวี,กรุงเทพมหานคร,TH
10400,แขวงทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,TH
10400,แขวงมักกะสัน,เขตราชเทวี,กรุงเทพมหานคร,TH
10500,แขวงบางรัก,เขตบางรัก,กรุงเทพมหานคร,TH
10500,แขวงมหาพฤฒาราม,เขตบางรัก,กรุงเทพมหานคร,TH
10500,แขวงสี่พระยา,เขตบางรัก,กรุงเทพมหานคร,TH
10500,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,TH
10500,แขวงสุริยวงศ์,เขตบางรัก,กรุงเทพมหานคร,TH
10510,แขวงทรายกองดิน,เขตคลองสามวา,กรุงเทพมหานคร,TH
10510,แขวงทรายกองดินใต้,เขตคลองสามวา,กรุงเทพมหานคร,TH
10510,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,TH
10510,แขวงสามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,TH
10510,แขวงสามวาตะวันออก,เขตคลองสามวา,กรุงเทพมหานคร,TH
10510,แขวงบางชัน,เขตมีนบุรี,กรุงเทพมหานคร,TH
10510,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,TH
10510,แขวงแสนแสบ,เขตมีนบุรี,กรุงเทพมหานคร,TH
10520,แขวงขุมทอง,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10520,แขวงคลองสองต้นนุ่น,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10520,แขวงคลองสามประเวศ,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10520,แขวงทับยาว,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10520,แขวงลาดกระบัง,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10520,แขวงลำปลาทิว,เขตลาดกระบัง,กรุงเทพมหานคร,TH
10530,แขวงกระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,TH
10530,แขวงคลองสิบ,เขตหนองจอก,กรุงเทพมหานคร,TH
10530,แขวงคลองสิบสอง,เขตหนองจอก,กรุงเทพมหานคร,TH
10530,แขวงคู้ฝั่งเหนือ,เขตหนองจอก,กรุงเทพมหานคร,TH
10530,แขวงโคกแฝด,เขตหนองจอก,กรุงเทพมหานคร,TH
